page	event	quadrant	sample_name	position	oscillating_cn_2&3_states	cn_segments
78	2	Upper_Right	ICGC_MB224	17:27090584−78497663	7, 14	14
78	3	Lower_Left	ICGC_MB23	10:388457−53879148	8, 11	11
78	4	Lower_Right	ICGC_MB34	5:292496−69696821	7, 9	55
79	1	Upper_Left	ICGC_MB34	14:29090292−47295794	15, 15	35
79	2	Upper_Right	ICGC_MB34	X:15128807−127701065	7, 10	41
79	3	Lower_Left	ICGC_MB81	3:83993082−118079412	10, 21	48
79	4	Lower_Right	ICGC_MB83	20:305936−62568476	23, 23	23
80	1	Upper_Left	ICGC_MB94	12:12616089−127105460	9, 21	26
80	2	Upper_Right	70939245-41e0-4845-a473-5fef719b9828	11:67579787−119004447	11, 12	12
80	3	Lower_Left	a5f851c5-6130-4ea1-9f86-be59331a92f7	12:40577459−111918430	11, 14	29
80	4	Lower_Right	300fff5a-0f61-402d-b845-3938ba7b1294	4:94012474−136381345	8, 8	8
81	1	Upper_Left	5116e3b4-2bac-40f5-8046-b9c1783faaa5	8:75252026−130197825	7, 8	78
81	2	Upper_Right	5116e3b4-2bac-40f5-8046-b9c1783faaa5	10:3416561−47660152	18, 20	22
81	3	Lower_Left	74a0264d-1d31-430d-9a88-e7334c8aa96c	11:36286027−55106614	9, 10	38
81	4	Lower_Right	7d8eab0a-e6c8-4449-9ebf-50c41db94a06	11:24587264−77217999	7, 7	7
82	1	Upper_Left	84e34cf2-b3bb-4a1a-8fb7-6c2c604c4008	2:225114384−242999441	23, 25	25
82	2	Upper_Right	84e34cf2-b3bb-4a1a-8fb7-6c2c604c4008	4:110377459−189112406	31, 31	31
82	3	Lower_Left	857a5889-19e7-4208-8362-f1377c408037	10:170347−37518119	7, 20	20
82	4	Lower_Right	a512701f-88bb-4b05-8c94-fd285b9dd13e	10:4459777−93753340	14, 15	15
83	1	Upper_Left	d3b7ada6-5395-4212-a921-8e97c92b605d	17:29755964−52225944	10, 10	10
83	2	Upper_Right	d3b7ada6-5395-4212-a921-8e97c92b605d	18:5986794−35455161	7, 7	18
83	3	Lower_Left	dca004bf-9c14-45a1-b186-ab3759f6c7fe	6:221993−169360831	23, 36	87
83	4	Lower_Right	e8ec26bd-c88d-42b9-ac8a-ab121b8140f8	20:7138898−57297995	13, 19	80
84	1	Upper_Left	f87c6dcc-1a9e-4df5-962c-1f946e2611f8	10:4835843−86898602	9, 19	32
84	2	Upper_Right	1388bba1-02ba-40df-93e5-c3d58b7bbae0	1:32651575−117559110	53, 53	53
84	3	Lower_Left	1388bba1-02ba-40df-93e5-c3d58b7bbae0	12:361015−132561817	17, 49	129
84	4	Lower_Right	1388bba1-02ba-40df-93e5-c3d58b7bbae0	21:21231971−30536463	10, 10	24
85	1	Upper_Left	OCCAMS-AH-014	9:15450269−78965593	8, 9	29
85	2	Upper_Right	OCCAMS-AH-046	17:3658212−53172475	8, 13	16
85	3	Lower_Left	OCCAMS-AH-048	7:2901227−145317445	12, 12	89
85	4	Lower_Right	OCCAMS-AH-063	8:30876019−41958223	8, 8	8
86	1	Upper_Left	OCCAMS-AH-064	2:968502−127296039	7, 25	39
86	2	Upper_Right	OCCAMS-AH-064	3:1926043−196423191	7, 9	75
86	3	Lower_Left	OCCAMS-AH-064	13:27991549−115019710	10, 34	88
86	4	Lower_Right	OCCAMS-AH-064	X:10521537−154343000	10, 15	91
87	1	Upper_Left	OCCAMS-AH-082	6:52224981−156272848	11, 14	62
87	2	Upper_Right	OCCAMS-AH-085	9:33132354−139158900	9, 19	19
87	3	Lower_Left	OCCAMS-AH-086	10:43601978−134914515	25, 30	113
87	4	Lower_Right	OCCAMS-AH-086	19:1174502−58337393	7, 12	103
88	1	Upper_Left	OCCAMS-AH-088	7:53921918−151275079	15, 33	69
88	2	Upper_Right	OCCAMS-AH-096	22:16884779−49630408	8, 21	25
88	3	Lower_Left	OCCAMS-AH-108	17:614159−62917745	7, 7	102
88	4	Lower_Right	OCCAMS-AH-112	1:1979872−212827045	21, 33	41
89	1	Upper_Left	OCCAMS-AH-112	2:23859234−191789699	11, 14	14
89	2	Upper_Right	OCCAMS-AH-112	4:5188482−185655429	10, 21	54
89	3	Lower_Left	OCCAMS-AH-112	5:110689915−118671116	8, 8	8
89	4	Lower_Right	OCCAMS-AH-112	9:2688258−130163538	11, 19	35
90	1	Upper_Left	OCCAMS-AH-136	16:47562340−57689371	16, 16	16
90	2	Upper_Right	OCCAMS-AH-173	1:24204431−234619940	10, 37	66
90	3	Lower_Left	OCCAMS-AH-173	8:14950710−146210675	9, 9	18
90	4	Lower_Right	OCCAMS-AH-196	18:13655503−77718608	8, 9	92
91	1	Upper_Left	OCCAMS-AH-197	11:60717275−95643409	9, 24	31
91	2	Upper_Right	OCCAMS-ED-003	3:77926901−140720659	9, 15	19
91	3	Lower_Left	OCCAMS-ED-041	2:144209346−167223868	18, 18	18
91	4	Lower_Right	OCCAMS-GS-002	6:25217251−125203324	9, 23	28
92	1	Upper_Left	OCCAMS-PS-014	3:10840533−149005314	7, 13	30
92	2	Upper_Right	OCCAMS-PS-014	9:3720535−31869665	7, 15	15
92	3	Lower_Left	OCCAMS-RS-006	2:11537277−117535028	15, 15	15
92	4	Lower_Right	OCCAMS-RS-007	4:124056−24705189	10, 17	37
93	1	Upper_Left	OCCAMS-RS-008	18:28233723−70007646	8, 11	19
93	2	Upper_Right	OCCAMS-RS-008	20:10454766−62655650	7, 19	30
93	3	Lower_Left	OCCAMS-RS-024	4:15222955−60346330	8, 15	28
93	4	Lower_Right	OCCAMS-RS-024	5:61100033−179629173	8, 11	11
94	1	Upper_Left	OCCAMS-RS-031	3:102654747−189241556	13, 13	20
94	2	Upper_Right	OCCAMS-RS-032	9:15830088−125695294	10, 24	25
94	3	Lower_Left	OCCAMS-RS-036	5:52934089−180192620	7, 11	37
94	4	Lower_Right	OCCAMS-RS-036	13:19096905−108942210	8, 11	41
95	1	Upper_Left	OCCAMS-SH-003	9:7402627−123306880	31, 31	56
95	2	Upper_Right	OCCAMS-SH-051	8:15493178−116198864	12, 13	50
95	3	Lower_Left	OCCAMS-SH-051	9:83628603−122095709	9, 13	18
95	4	Lower_Right	OCCAMS-SH-051	10:1449967−129457144	16, 63	63
96	1	Upper_Left	OCCAMS-SH-051	17:35498058−80272573	8, 13	34
96	2	Upper_Right	OCCAMS-SH-071	19:910192−23977386	11, 13	71
96	3	Lower_Left	OCCAMS-ST-020	2:2097136−240675922	50, 78	78
96	4	Lower_Right	OCCAMS-ST-029	6:80712446−105721586	13, 20	20
97	1	Upper_Left	OCCAMS-ST-029	9:18394399−139562954	11, 11	73
97	2	Upper_Right	OCCAMS-WG-002	5:146494000−172062115	11, 11	11
97	3	Lower_Left	OCCAMS-WG-019	8:11621919−129269031	7, 13	56
97	4	Lower_Right	OCCAMS-ZZ-004	3:79151724−171586622	10, 12	38
98	1	Upper_Left	OCCAMS-ZZ-004	13:22419265−109068331	8, 15	56
98	2	Upper_Right	OCCAMS-ZZ-016	3:35278145−141335185	7, 14	14
98	3	Lower_Left	OCCAMS-ZZ-019	5:54890695−171491811	18, 25	25
98	4	Lower_Right	3e5f451a-5882-4914-ae1a-95c898c2bcca	17:37011270−62375856	21, 21	21
99	1	Upper_Left	ad6c9d09-2c03-4786-a72d-dd2aa5f603d4	18:1261751−15359143	8, 32	37
99	2	Upper_Right	cb99fb14-641c-4fb3-bf1d-17efb8cd982a	5:301373−56638638	13, 13	20
99	3	Lower_Left	e303b8c4-6428-4134-bb9d-a95dc1d8e35e	1:1362882−85717387	15, 15	15
99	4	Lower_Right	2f1c4db6-88a7-4a5d-a5fe-94d85f569440	5:928958−174411985	82, 129	129
100	1	Upper_Left	2f1c4db6-88a7-4a5d-a5fe-94d85f569440	13:20416020−113987910	51, 138	138
100	2	Upper_Right	70e306ee-9584-49d6-81a1-a49d837ab6aa	3:27225774−76470709	9, 22	64
100	3	Lower_Left	70e306ee-9584-49d6-81a1-a49d837ab6aa	15:40179423−68153782	10, 10	94
100	4	Lower_Right	f2b58595-dec0-4194-ab33-7c7dc6c058a6	5:40655−32685928	7, 15	65
101	1	Upper_Left	659294b9-ded9-498a-bc00-c1d4d456aa4a	7:41484984−158377609	7, 21	110
101	2	Upper_Right	bbbce1ba-c739-43ba-b9cf-a4f746491ae3	5:86939720−123103947	8, 14	14
101	3	Lower_Left	db058eb4-9c5e-4226-92d1-de24aea83630	2:148510874−160670122	8, 8	8
101	4	Lower_Right	4edd92e1-5da5-49a3-80e4-fa456aa425b8	7:85764754−138776191	14, 16	93
102	1	Upper_Left	C0005	5:120889469−128593853	7, 7	7
102	2	Upper_Right	C0012	10:4199382−60236974	19, 31	34
102	3	Lower_Left	C0014	3:78323577−84515937	8, 8	8
102	4	Lower_Right	C0020	9:130216384−130739182	8, 8	8
103	1	Upper_Left	C0021	3:54440509−59348361	15, 15	15
103	2	Upper_Right	C0028	5:108336748−122172505	14, 14	14
103	3	Lower_Left	C0038	11:70294810−133163692	30, 32	41
103	4	Lower_Right	C0042	3:63359585−74750084	11, 11	11
104	1	Upper_Left	C0048	2:158092242−161598269	7, 7	7
104	2	Upper_Right	C0050	3:57083918−66979704	7, 11	11
104	3	Lower_Left	C0073	2:203714228−211103949	7, 9	9
104	4	Lower_Right	C0077	5:96447966−99601957	7, 9	11
105	1	Upper_Left	C0085	3:80108501−85829127	9, 9	9
105	2	Upper_Right	C0099	2:144120765−214902326	13, 13	13
105	3	Lower_Left	1987b453-f97d-45c7-9c89-b9a33313d645	4:122039841−145149274	20, 20	20
105	4	Lower_Right	1987b453-f97d-45c7-9c89-b9a33313d645	14:25556654−90170623	7, 23	23
106	1	Upper_Left	1987b453-f97d-45c7-9c89-b9a33313d645	16:25250822−30860384	9, 14	22
106	2	Upper_Right	3acf7438-fd65-442c-8a30-68b6714537f3	5:141997−63388893	7, 14	138
106	3	Lower_Left	457cca7c-a8b4-414e-a3c0-7fccf0ee2034	17:57017−81011331	7, 12	20
106	4	Lower_Right	457cca7c-a8b4-414e-a3c0-7fccf0ee2034	19:8778812−22442312	9, 19	19
107	1	Upper_Left	56403463-1727-4c23-a709-de5f168c4073	4:74309555−190780625	13, 26	204
107	2	Upper_Right	56403463-1727-4c23-a709-de5f168c4073	18:40499139−53757981	7, 7	7
107	3	Lower_Left	56a82a56-0241-4d3d-9de2-696b0c36df91	1:145474628−249083131	18, 19	19
107	4	Lower_Right	614c0ecf-6a84-4c86-8706-79be5bb00991	2:124760110−188573775	10, 18	21
108	1	Upper_Left	614c0ecf-6a84-4c86-8706-79be5bb00991	22:17018899−48999964	9, 18	18
108	2	Upper_Right	69d6881b-9e9a-407b-8b02-bad5fc2455bf	5:2046664−180200470	13, 35	50
108	3	Lower_Left	6c79f64b-63fe-46f5-bf7b-77208231b0f2	2:117574279−157367750	7, 11	11
108	4	Lower_Right	6dcfc418-ab28-4365-95ea-c1ae254f2341	1:774798−196124730	11, 30	128
109	1	Upper_Left	6dcfc418-ab28-4365-95ea-c1ae254f2341	14:70988852−75703457	11, 14	15
109	2	Upper_Right	89791f8f-dc06-4a04-b166-afbfd6cf53de	3:333940−69546080	11, 11	13
109	3	Lower_Left	b865dec4-f051-4fbe-9405-f832ff2010d7	5:90736−17223234	9, 21	21
109	4	Lower_Right	bce25281-502e-4599-9679-32dc8462ffb1	1:4234113−243543953	19, 31	31
110	1	Upper_Left	bfd20d71-18a5-4f01-8d56-84378ad92359	2:97744377−180446202	9, 9	18
110	2	Upper_Right	d680df09-368e-42b5-b540-45c41ed31042	9:33778034−141035750	9, 10	10
110	3	Lower_Left	ee63c44b-91f4-4004-8dea-192eab527036	10:12324933−114133790	7, 10	28
110	4	Lower_Right	HX10	17:694982−12501666	12, 12	12
111	1	Upper_Left	HX11	1:19776949−112077449	14, 14	14
111	2	Upper_Right	HX13	22:17088659−51192718	66, 66	75
111	3	Lower_Left	HX23	7:145877960−154544153	13, 13	13
111	4	Lower_Right	HX28	1:196470863−226612961	11, 11	11
112	1	Upper_Left	HX28	2:3659186−184750659	15, 26	26
112	2	Upper_Right	HX28	4:106905232−165763983	7, 7	12
112	3	Lower_Left	HX28	X:10674156−36219064	9, 9	9
112	4	Lower_Right	RK003	8:57075497−145572220	7, 10	11
113	1	Upper_Left	RK014	5:104702072−180283231	12, 12	17
113	2	Upper_Right	RK019	6:102249565−167532689	28, 31	74
113	3	Lower_Left	RK019	12:64174368−133313418	60, 74	88
113	4	Lower_Right	RK030	6:4750739−169684690	20, 20	38
114	1	Upper_Left	RK038	21:14694052−48076206	7, 7	7
114	2	Upper_Right	RK056	8:197777−146291756	7, 17	265
114	3	Lower_Left	RK062	4:104630720−185100401	8, 8	8
114	4	Lower_Right	RK067	1:44269676−245339193	10, 10	224
115	1	Upper_Left	RK069	3:170788309−197801947	8, 12	57
115	2	Upper_Right	RK071	11:67544036−101188725	12, 12	21
115	3	Lower_Left	RK075	7:110056465−157254694	19, 32	32
115	4	Lower_Right	RK079	4:170703373−190415562	9, 9	17
116	1	Upper_Left	RK088	8:696677−24055234	13, 13	13
116	2	Upper_Right	RK091	2:149101886−209165492	17, 19	29
116	3	Lower_Left	RK091	4:13542462−186127250	31, 37	75
116	4	Lower_Right	RK091	5:50697540−118326639	7, 12	18
117	1	Upper_Left	RK091	6:41192505−161744824	8, 31	71
117	2	Upper_Right	RK091	7:70340834−157389138	12, 20	20
117	3	Lower_Left	RK095	14:50525724−99068328	14, 24	45
117	4	Lower_Right	RK098	4:46094650−65000200	9, 15	25
118	1	Upper_Left	RK098	8:61570001−124934583	11, 13	13
118	2	Upper_Right	RK099	4:31313801−55741627	14, 14	14
118	3	Lower_Left	RK100	4:138117−57689386	7, 9	39
118	4	Lower_Right	RK101	9:4642656−38474066	9, 11	53
119	1	Upper_Left	RK106	6:966582−129186137	8, 8	26
119	2	Upper_Right	RK112	20:7912024−12423476	7, 8	8
119	3	Lower_Left	RK119	5:59053606−179748409	12, 16	20
119	4	Lower_Right	RK130	11:98073900−131896731	10, 10	33
120	1	Upper_Left	RK163	4:55287724−78645421	9, 9	9
120	2	Upper_Right	RK167	1:1562933−71739261	8, 14	14
120	3	Lower_Left	RK169	6:67707659−110782332	8, 13	24
120	4	Lower_Right	RK172	5:62205924−130667689	25, 43	64
121	1	Upper_Left	RK176	8:36542144−56972621	8, 9	17
121	2	Upper_Right	RK177	16:2729647−80636590	8, 9	22
121	3	Lower_Left	RK178	6:63544988−84372030	8, 11	13
121	4	Lower_Right	RK198	20:41335728−54766828	8, 11	11
122	1	Upper_Left	RK211	10:85728073−113319897	12, 13	13
122	2	Upper_Right	RK224	5:56427433−179390593	8, 8	30
122	3	Lower_Left	RK236	8:317288−65269814	11, 11	20
122	4	Lower_Right	RK236	17:26612392−66246801	15, 34	43
123	1	Upper_Left	RK237	1:12167222−154761279	7, 14	38
123	2	Upper_Right	RK254	7:58042074−122691771	9, 9	79
123	3	Lower_Left	RK256	1:1119435−15049596	12, 15	20
123	4	Lower_Right	RK259	18:52328461−77268592	7, 12	12
124	1	Upper_Left	RK262	1:5685916−217171836	11, 18	18
124	2	Upper_Right	RK275	13:86378471−99546315	8, 8	14
124	3	Lower_Left	RK306	8:33832982−50702008	7, 14	14
124	4	Lower_Right	028e99e9-5b9a-4954-bb6e-6d4709a3cea8	12:21630873−71673041	9, 13	15
125	1	Upper_Left	0d66bf6c-eed0-4726-bd5b-3bf6d610b4e0	12:61686111−128942893	8, 8	59
125	2	Upper_Right	0d66bf6c-eed0-4726-bd5b-3bf6d610b4e0	X:1621688−36004057	8, 16	56
125	3	Lower_Left	0df573ee-28f0-4244-b434-09e6ca59fbf0	3:84403892−164988872	9, 15	33
125	4	Lower_Right	2cd8ea73-cb3f-4b17-9b97-fa12eb03b85b	X:14068417−40674197	11, 11	11
126	1	Upper_Left	35cb7841-9b09-465a-90c5-e3b8a9faad49	18:4223387−49884307	27, 40	40
126	2	Upper_Right	368e23f0-e573-4547-bf5a-14080baf737b	3:55114482−97697310	10, 16	35
126	3	Lower_Left	397d3f69-1453-4057-b177-8723eec923d1	8:2155797−142175861	26, 29	256
126	4	Lower_Right	3d2aa654-1b5f-4eb4-a1c2-af31f5760069	2:70005417−214498426	8, 17	33
127	1	Upper_Left	61c655ec-52b5-453f-a6cc-b2aba445b027	19:3005321−54308857	10, 10	10
127	2	Upper_Right	6dfd47d2-831a-4386-9051-f78199a16bb5	5:90154962−118543958	13, 13	13
127	3	Lower_Left	6dfd47d2-831a-4386-9051-f78199a16bb5	15:24028054−98760287	10, 10	10
127	4	Lower_Right	9b132e4f-7e35-4cc5-8711-43ad62b906d0	16:83384632−90071935	8, 8	8
128	1	Upper_Left	9f81c602-8afa-4588-b0b6-6e5a1a128d5a	5:2066631−42135112	17, 23	23
128	2	Upper_Right	a1e65587-24c1-4b41-92a7-4e1f15fffd78	1:161178683−248860526	10, 11	21
128	3	Lower_Left	a3de401d-91fe-49a2-bb07-81c1a06506e6	4:92565955−127635647	8, 8	13
128	4	Lower_Right	a3de401d-91fe-49a2-bb07-81c1a06506e6	11:41318012−43840319	11, 11	11
129	1	Upper_Left	cc4bd56a-25c5-4c48-b583-ac3aeb778ca6	2:96640631−224440317	8, 8	8
129	2	Upper_Right	d5326429-9805-47f9-97b0-fbda658e3f01	8:1104196−79784584	7, 10	45
129	3	Lower_Left	dbd5b0de-94c9-45dd-afb3-6820a7ecaca2	6:3073059−49773930	12, 18	18
129	4	Lower_Right	ebcba7f2-ce13-4bae-97cd-91a6b1dcd465	1:145625856−163083972	7, 12	12
130	1	Upper_Left	0398eae1-7216-4595-80a5-6b117d96e070	5:7830470−88829799	9, 10	45
130	2	Upper_Right	1ee543d5-b8c0-4f79-8373-6bb6319f2ee2	5:8531769−45801499	8, 13	41
130	3	Lower_Left	1f6b2aca-7357-40d1-ba7a-99227d9900a2	18:21140095−63388413	11, 19	81
130	4	Lower_Right	305f72a8-069b-410b-bbe4-4ecb761c748d	2:124378520−225481223	13, 15	15
131	1	Upper_Left	376dfd27-68e8-4a1a-9c4f-5064279b2a9e	9:1296608−20464401	7, 7	15
131	2	Upper_Right	395babb3-3f5d-4e71-a675-af4443f23028	9:21616519−136467696	7, 9	9
131	3	Lower_Left	3edf933a-be1a-46e8-bfb0-acdff30e64a0	12:22945549−94815954	16, 19	19
131	4	Lower_Right	422a46b2-a67c-4a7e-923f-9b651ced96f8	7:73026297−85512823	14, 14	14
132	1	Upper_Left	43abe847-4ba7-466e-8283-5d7b80b999a7	2:4435309−219331448	7, 9	92
132	2	Upper_Right	43abe847-4ba7-466e-8283-5d7b80b999a7	3:96334427−197597663	7, 12	122
132	3	Lower_Left	43abe847-4ba7-466e-8283-5d7b80b999a7	5:932078−55824519	7, 12	32
132	4	Lower_Right	43abe847-4ba7-466e-8283-5d7b80b999a7	9:21846780−123901906	9, 13	59
133	1	Upper_Left	4ca13c92-84b4-4edf-842a-b20b7e713415	8:24315943−122822158	7, 11	13
133	2	Upper_Right	7b982d5e-3a7d-40ac-bd25-6044c62879b6	2:16626479−125491838	8, 14	97
133	3	Lower_Left	7b982d5e-3a7d-40ac-bd25-6044c62879b6	4:59343654−113670691	7, 8	17
133	4	Lower_Right	7b982d5e-3a7d-40ac-bd25-6044c62879b6	7:12149298−158873626	26, 26	100
134	1	Upper_Left	7d905f8f-3967-4ea8-96c8-17b1b03fbec3	2:79670598−142912803	8, 9	26
134	2	Upper_Right	7d905f8f-3967-4ea8-96c8-17b1b03fbec3	16:1242659−24867894	11, 11	19
134	3	Lower_Left	7d905f8f-3967-4ea8-96c8-17b1b03fbec3	18:3889958−60926976	7, 12	32
134	4	Lower_Right	9af6ed4e-8cdc-4f49-84e9-ba1053b5b3ca	14:24946194−66674963	7, 17	21
135	1	Upper_Left	adc853b1-b8bf-488c-a1e2-e95603459b55	1:82323412−119584894	8, 8	13
135	2	Upper_Right	ce8612ab-3149-4a6a-b424-29c0c21c9b8b	19:5801908−24509732	11, 18	27
135	3	Lower_Left	d4bc755a-2585-4529-ae36-7e1d88bdecfe	3:102997353−197639661	7, 7	56
135	4	Lower_Right	fd9ee494-65fe-4de4-adff-7952a059b17f	4:21261215−91243140	11, 17	17
136	1	Upper_Left	a8e2df1e-4042-42af-9231-3a00e83489f0	16:2075019−31393909	9, 9	36
136	2	Upper_Right	f0a326d2-1f3e-4a5d-bca8-32aaccc52338	13:19719472−64497953	11, 11	11
136	3	Lower_Left	f0a326d2-1f3e-4a5d-bca8-32aaccc52338	18:24492930−66759172	13, 15	37
136	4	Lower_Right	4108992	9:19438790−35406023	10, 10	10
137	1	Upper_Left	4108992	10:28967917−127614040	57, 76	76
137	2	Upper_Right	4108992	11:26426720−124921346	30, 36	36
137	3	Lower_Left	4111337	6:64848966−120732911	7, 9	27
137	4	Lower_Right	4111337	X:2879067−141829230	13, 32	66
138	1	Upper_Left	4120193	2:3501118−241999895	12, 13	27
138	2	Upper_Right	4134434	1:72008571−200073394	27, 33	33
138	3	Lower_Left	4139696	6:18142908−155212520	15, 15	15
138	4	Lower_Right	4144951	13:24997688−112761208	7, 7	14
139	1	Upper_Left	4145177	1:1727046−8960415	26, 26	26
139	2	Upper_Right	4147081	1:77588781−145118488	12, 12	12
139	3	Lower_Left	4147081	3:112007049−169759318	8, 8	8
139	4	Lower_Right	4147081	8:28532675−54463876	14, 14	14
140	1	Upper_Left	4147968	12:47913057−127394426	12, 13	18
140	2	Upper_Right	4158726	18:49801362−72732256	16, 16	16
140	3	Lower_Left	4177987	10:38964812−109297003	8, 8	8
140	4	Lower_Right	141	21:16368954−25156515	8, 8	8
141	1	Upper_Left	AOCS-005	18:56378430−67139124	10, 17	48
141	2	Upper_Right	AOCS-034	4:77772−43781007	49, 66	66
141	3	Lower_Left	AOCS-055	7:567398−57567811	12, 25	25
141	4	Lower_Right	AOCS-056	8:35777050−145916683	7, 11	23
142	1	Upper_Left	AOCS-058	4:19768980−47652511	9, 9	9
142	2	Upper_Right	AOCS-059	19:7159079−17180659	7, 7	31
142	3	Lower_Left	AOCS-064	X:43392645−129894760	8, 8	25
142	4	Lower_Right	AOCS-080	20:15018409−22766307	10, 13	13
143	1	Upper_Left	AOCS-081	5:1326917−126150912	20, 21	27
143	2	Upper_Right	AOCS-084	1:37638433−46640509	8, 9	11
143	3	Lower_Left	AOCS-085	6:63724002−84893098	9, 9	9
143	4	Lower_Right	AOCS-090	8:8519924−34671479	7, 16	18
144	1	Upper_Left	AOCS-090	13:20915954−32359355	9, 9	9
144	2	Upper_Right	AOCS-093	13:31521128−105978091	70, 70	70
144	3	Lower_Left	AOCS-096	13:56212396−69555802	11, 27	27
144	4	Lower_Right	AOCS-097	15:20101979−89639810	10, 12	21
145	1	Upper_Left	AOCS-108	3:7603269−193289152	7, 27	77
145	2	Upper_Right	AOCS-111	21:17237944−40394460	11, 16	16
145	3	Lower_Left	AOCS-113	1:208032015−248380796	9, 24	41
145	4	Lower_Right	AOCS-116	3:137813498−197700924	7, 10	42
146	1	Upper_Left	AOCS-117	8:42562155−137393245	7, 20	37
146	2	Upper_Right	AOCS-117	20:34757165−60260321	10, 10	20
146	3	Lower_Left	AOCS-142	4:52826977−104671727	7, 8	52
146	4	Lower_Right	AOCS-153	11:6869185−128159617	7, 8	8
147	1	Upper_Left	AOCS-155	2:116979827−242917384	16, 21	40
147	2	Upper_Right	AOCS-159	12:24836900−124945298	12, 23	23
147	3	Lower_Left	AOCS-160	6:1616031−23308796	9, 22	37
147	4	Lower_Right	AOCS-162	18:1605416−20794812	7, 7	14
148	1	Upper_Left	AOCS-166	22:36538809−49089280	8, 16	18
148	2	Upper_Right	AOCS-169	1:94394953−193703467	8, 10	32
148	3	Lower_Left	AOCS-169	9:12691740−121121973	8, 30	34
148	4	Lower_Right	0c1a2e7d-e7e4-481e-a012-ef214c444497	8:59542153−123021272	11, 11	18
149	1	Upper_Left	0c1a2e7d-e7e4-481e-a012-ef214c444497	18:4742587−29869159	15, 15	21
149	2	Upper_Right	30b8f4cd-9245-4496-a8a8-c3e59093bc0a	11:898947−50134754	9, 9	9
149	3	Lower_Left	4b930a10-4b12-4428-84f9-3255b4a3bc4f	6:20732385−65386033	11, 18	18
149	4	Lower_Right	4b930a10-4b12-4428-84f9-3255b4a3bc4f	19:10117072−19925765	7, 7	26
150	1	Upper_Left	4c18d9cf-4af4-4a86-8b1c-f78795fbbd7e	4:4561511−183003967	22, 35	35
150	2	Upper_Right	4c18d9cf-4af4-4a86-8b1c-f78795fbbd7e	11:44797680−125468262	12, 12	12
150	3	Lower_Left	5c127332-5ca0-45f1-a5ac-4876ad94e491	2:29255147−191672689	12, 15	65
150	4	Lower_Right	62379be5-13f0-474b-94d3-6f944ec4ee96	20:1979378−25856531	29, 30	30
151	1	Upper_Left	700e91bb-d675-41b2-bbbd-935767c7b447	18:158944−67628538	31, 33	37
151	2	Upper_Right	7ca97692-0bf5-4bbd-81ce-10a051d04bd5	11:56003935−131544055	11, 36	152
151	3	Lower_Left	8a6d2ce3-cc57-451b-9b07-8263782aa23f	21:18052703−29183847	11, 15	15
151	4	Lower_Right	ba68f2cf-9271-41fd-9655-1fac7681f588	8:29488947−40948299	9, 9	17
152	1	Upper_Left	c435627c-159d-4a6d-a819-30abac24bf4d	8:8571303−145086772	7, 14	117
152	2	Upper_Right	c9e28934-8379-4511-817c-d787f2c4ca3a	17:48309481−79654739	7, 10	30
152	3	Lower_Left	e9483296-cb91-497a-b955-39a3c3289dac	11:78769716−119886055	7, 8	19
152	4	Lower_Right	f0c353fd-947c-41e2-b643-3ecc0d69796c	10:38043794−123678267	7, 8	8
153	1	Upper_Left	ICGC_0007	1:38813433−49397759	7, 13	45
153	2	Upper_Right	ICGC_0007	17:47498985−79507305	12, 12	12
153	3	Lower_Left	ICGC_0007	20:1226919−53870564	13, 16	16
153	4	Lower_Right	ICGC_0020	6:36021238−98348848	9, 9	9
154	1	Upper_Left	ICGC_0020	11:2734690−58550648	12, 12	12
154	2	Upper_Right	ICGC_0021	19:28278241−58069967	13, 17	48
154	3	Lower_Left	ICGC_0026	15:22891529−92856416	20, 20	20
154	4	Lower_Right	ICGC_0031	7:89045625−146695947	10, 10	10
155	1	Upper_Left	ICGC_0037	19:21564139−22548813	9, 9	9
155	2	Upper_Right	ICGC_0052	21:16837999−44959353	9, 16	16
155	3	Lower_Left	ICGC_0055	9:31913973−97303304	9, 10	10
155	4	Lower_Right	ICGC_0067	9:73035221−139560353	13, 16	16
156	1	Upper_Left	ICGC_0067	14:82219284−100582142	7, 7	7
156	2	Upper_Right	ICGC_0087	10:60725577−84090610	7, 9	9
156	3	Lower_Left	ICGC_0088	12:21367968−34833918	9, 13	13
156	4	Lower_Right	ICGC_0088	18:27451678−30477084	17, 17	17
157	1	Upper_Left	ICGC_0108	7:2398212−48791277	8, 8	8
157	2	Upper_Right	ICGC_0109	5:55531264−177528041	22, 22	22
157	3	Lower_Left	ICGC_0114	1:32132328−65796925	7, 7	43
157	4	Lower_Right	ICGC_0114	2:28274298−38935751	11, 11	11
158	1	Upper_Left	ICGC_0114	10:72984995−103221106	7, 7	7
158	2	Upper_Right	ICGC_0134	22:18019664−28052500	8, 18	18
158	3	Lower_Left	ICGC_0146	3:25423800−74920530	12, 12	12
158	4	Lower_Right	ICGC_0146	10:3251990−120467283	32, 42	42
159	1	Upper_Left	ICGC_0146	11:44273470−122909222	7, 7	7
159	2	Upper_Right	ICGC_0199	2:109779279−139790794	17, 17	17
159	3	Lower_Left	ICGC_0205	8:466553−113346314	7, 8	8
159	4	Lower_Right	ICGC_0214	1:196999875−239097447	11, 11	11
160	1	Upper_Left	ICGC_0214	2:1473520−230672823	61, 69	69
160	2	Upper_Right	ICGC_0214	4:77735561−162014258	7, 7	13
